               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025927,            0.006327,           0.0034182,              0.9969,                   1,               0.995,              0.7938,             0.01627,           0.0028634,           0.0021079,            0.006535,            0.006535,            0.006535
                  37,            0.025528,           0.0058509,           0.0031247,             0.99691,                   1,               0.995,             0.74371,            0.019784,           0.0029171,           0.0019798,            0.006436,            0.006436,            0.006436
                  38,            0.024488,            0.006291,           0.0033822,             0.99611,                   1,               0.995,             0.76373,            0.018559,           0.0028225,           0.0019169,            0.006337,            0.006337,            0.006337
                  39,            0.024647,           0.0062031,           0.0033719,             0.99692,                   1,               0.995,              0.7763,            0.017849,           0.0028913,           0.0017941,            0.006238,            0.006238,            0.006238
                  40,            0.024519,           0.0057941,           0.0030193,             0.98791,                   1,               0.995,             0.80908,            0.016278,           0.0027997,           0.0016855,            0.006139,            0.006139,            0.006139
                  41,            0.023793,           0.0061996,           0.0036768,             0.99716,             0.99917,               0.995,             0.79433,            0.015298,           0.0027818,           0.0018524,             0.00604,             0.00604,             0.00604
                  42,            0.022848,           0.0055476,           0.0036814,             0.99564,                   1,               0.995,             0.75454,            0.020684,           0.0029081,           0.0018577,            0.005941,            0.005941,            0.005941
                  43,            0.022579,            0.006208,           0.0027871,             0.99672,                   1,               0.995,              0.8125,            0.016618,           0.0026739,           0.0017277,            0.005842,            0.005842,            0.005842
                  44,            0.023235,           0.0062826,           0.0025389,             0.99647,                   1,               0.995,             0.76099,            0.017338,           0.0027232,           0.0016594,            0.005743,            0.005743,            0.005743
                  45,            0.022725,           0.0055923,           0.0027565,             0.99598,                   1,               0.995,             0.82878,            0.014796,            0.002681,           0.0016394,            0.005644,            0.005644,            0.005644
                  46,            0.022702,           0.0057166,            0.002809,             0.99671,                   1,               0.995,              0.8283,            0.014867,           0.0026488,           0.0016304,            0.005545,            0.005545,            0.005545
                  47,            0.020998,           0.0053652,           0.0028658,             0.99624,                   1,               0.995,             0.81117,            0.016791,           0.0027117,           0.0016832,            0.005446,            0.005446,            0.005446
                  48,            0.021522,           0.0058266,           0.0026569,             0.99748,                   1,               0.995,             0.78731,            0.017877,            0.002733,           0.0015774,            0.005347,            0.005347,            0.005347
                  49,            0.021904,            0.005912,           0.0027016,             0.99694,                   1,               0.995,             0.78584,            0.017569,           0.0026817,           0.0015471,            0.005248,            0.005248,            0.005248
                  50,            0.021244,           0.0054621,           0.0024309,             0.99606,                   1,               0.995,             0.78959,            0.015929,           0.0026542,           0.0015271,            0.005149,            0.005149,            0.005149
                  51,            0.020559,           0.0054377,           0.0029682,             0.99577,                   1,               0.995,             0.83273,            0.015093,           0.0026946,           0.0015995,             0.00505,             0.00505,             0.00505
                  52,            0.020199,           0.0055005,           0.0026467,             0.99706,                   1,               0.995,             0.82515,            0.014383,           0.0025591,           0.0014841,            0.004951,            0.004951,            0.004951
                  53,            0.020245,           0.0056517,           0.0027919,             0.99764,                   1,               0.995,             0.83317,            0.015435,           0.0026557,           0.0013053,            0.004852,            0.004852,            0.004852
                  54,            0.019808,           0.0055512,           0.0020501,             0.99749,                   1,               0.995,             0.84337,            0.013679,           0.0025616,           0.0012904,            0.004753,            0.004753,            0.004753
                  55,            0.019105,            0.005133,           0.0023001,             0.99692,                   1,               0.995,              0.8204,            0.015151,           0.0025248,           0.0013062,            0.004654,            0.004654,            0.004654
                  56,            0.019396,           0.0056432,           0.0021354,             0.99665,                   1,               0.995,             0.84257,            0.014567,           0.0025345,           0.0012413,            0.004555,            0.004555,            0.004555
                  57,            0.020079,           0.0053942,           0.0022421,             0.99557,                   1,               0.995,             0.83819,            0.015449,           0.0024771,           0.0012518,            0.004456,            0.004456,            0.004456
